Country,Purchasing Power,Purchasing Power Category,Safety,Safety Category,Health Care,Health Care Category,Climate,Climate Category,Cost of Living,Cost of Living Category,Property Price to Income,Property Price to Income Category,Traffic Commute Time,Traffic Commute Time Category,Pollution,Pollution Category,Quality of Life,Quality of Life Category
Albania,42.82,Low,55.52,Moderate,48.21,Moderate,86.43,Very High,40.85,Low,14.88,High,36.74,Moderate,77.25,High,104.16,Low
Algeria,27.6,Very Low,47.54,Moderate,54.43,Moderate,94.82,Very High,25.31,Very Low,21.7,Very High,45.09,High,63.87,High,98.83,Very Low
Argentina,40.36,Low,36.36,Low,68.0,High,98.28,Very High,32.65,Very Low,20.05,Very High,44.07,High,50.81,Moderate,115.06,Low
Armenia,36.91,Very Low,77.81,High,58.07,Moderate,63.42,High,41.84,Low,20.95,Very High,29.31,Low,62.55,High,116.56,Low
Australia,137.58,Very High,52.71,Moderate,73.35,High,93.8,Very High,64.5,Moderate,8.25,Moderate,37.48,Moderate,26.8,Low,190.69,Very High
Austria,109.08,High,70.38,High,77.83,High,77.4,High,62.22,Moderate,11.76,Moderate,23.77,Very Low,20.73,Low,192.07,Very High
Azerbaijan,41.75,Low,68.12,High,48.31,Moderate,91.4,Very High,30.26,Very Low,15.24,High,40.63,Moderate,72.69,High,113.51,Low
Bahrain,114.56,Very High,75.28,High,66.6,High,64.31,High,48.79,Low,4.9,Very Low,30.74,Low,71.57,High,158.68,High
Bangladesh,36.16,Very Low,38.79,Low,42.2,Moderate,71.29,High,20.76,Very Low,12.26,High,57.57,Very High,85.31,Very High,74.51,Very Low
Belarus,56.24,Low,49.99,Moderate,48.5,Moderate,64.37,High,25.11,Very Low,12.79,High,31.2,Low,44.94,Moderate,127.48,Moderate
Belgium,118.62,Very High,50.42,Moderate,75.76,High,86.03,Very High,57.41,Low,6.82,Low,35.19,Moderate,49.45,Moderate,168.52,Very High
Bosnia And Herzegovina,63.66,Moderate,58.3,Moderate,55.62,Moderate,80.48,Very High,32.01,Very Low,13.12,High,26.15,Very Low,59.68,Moderate,134.51,Moderate
Botswana,64.6,Moderate,47.3,Moderate,61.12,High,88.87,Very High,40.05,Low,29.07,Very High,28.53,Low,46.09,Moderate,36.55,Very Low
Brazil,42.13,Low,35.36,Low,59.21,Moderate,94.31,Very High,27.14,Very Low,15.4,High,40.63,Moderate,52.84,Moderate,115.99,Low
Bulgaria,77.66,Moderate,63.73,High,58.15,Moderate,82.76,Very High,35.86,Very Low,9.22,Moderate,29.05,Low,62.94,High,144.49,Moderate
Cambodia,26.95,Very Low,48.19,Moderate,50.71,Moderate,59.43,Moderate,34.38,Very Low,26.77,Very High,28.0,Low,77.77,High,78.92,Very Low
Canada,111.31,Very High,54.34,Moderate,68.82,High,55.41,Moderate,60.55,Moderate,10.47,Moderate,33.53,Low,29.8,Low,164.54,Very High
Chile,51.47,Low,39.55,Low,63.52,High,90.21,Very High,36.29,Very Low,16.03,Very High,36.04,Moderate,77.51,High,106.49,Low
China,78.42,Moderate,75.82,High,68.53,High,79.61,High,31.23,Very Low,28.6,Very High,38.9,Moderate,77.3,High,120.52,Moderate
Colombia,36.19,Very Low,39.14,Low,68.44,High,96.69,Very High,25.48,Very Low,17.98,Very High,47.15,High,62.47,High,107.9,Low
Costa Rica,50.9,Low,46.04,Moderate,64.29,High,99.48,Very High,50.18,Low,9.63,Moderate,59.99,Very High,42.39,Moderate,129.35,Moderate
Croatia,83.85,Moderate,74.54,High,64.66,High,89.23,Very High,43.23,Low,12.45,High,25.79,Very Low,31.1,Low,176.02,Very High
Cyprus,84.66,Moderate,66.9,High,57.13,Moderate,90.87,Very High,50.99,Low,8.06,Moderate,23.59,Very Low,54.99,Moderate,158.84,High
Czech Republic,90.3,High,73.64,High,75.47,High,79.1,High,43.65,Low,13.17,High,29.12,Low,34.78,Low,174.21,Very High
Denmark,134.75,Very High,73.81,High,78.5,High,82.47,Very High,68.9,Moderate,6.36,Low,27.93,Low,20.75,Low,208.65,Very High
Dominican Republic,31.82,Very Low,39.4,Low,58.26,Moderate,67.82,High,34.75,Very Low,16.89,Very High,40.69,Moderate,72.8,High,89.09,Very Low
Ecuador,45.93,Low,37.57,Low,75.39,High,94.51,Very High,30.28,Very Low,12.0,High,37.68,Moderate,59.05,Moderate,125.58,Moderate
Egypt,21.15,Very Low,52.64,Moderate,47.32,Moderate,91.98,Very High,19.46,Very Low,17.85,Very High,48.1,High,82.67,Very High,85.41,Very Low
El Salvador,33.72,Very Low,40.58,Moderate,51.67,Moderate,86.6,Very High,38.13,Very Low,16.0,Very High,40.39,Moderate,75.37,High,93.05,Very Low
Estonia,83.91,Moderate,76.37,High,75.93,High,64.28,High,50.4,Low,11.27,Moderate,21.57,Very Low,17.02,Very Low,185.1,Very High
Ethiopia,13.59,Very Low,49.1,Moderate,53.46,Moderate,96.82,Very High,43.89,Low,28.88,Very High,63.36,Very High,73.24,High,48.88,Very Low
Fiji,57.77,Low,43.44,Moderate,48.18,Moderate,71.89,High,33.42,Very Low,6.51,Low,40.93,Moderate,53.44,Moderate,122.12,Moderate
Finland,126.13,Very High,73.57,High,77.57,High,58.87,Moderate,60.04,Moderate,8.16,Moderate,25.56,Very Low,11.83,Very Low,203.06,Very High
France,111.7,Very High,44.56,Moderate,77.78,High,89.71,Very High,59.48,Low,10.55,Moderate,34.72,Low,43.56,Moderate,165.08,Very High
Georgia,40.6,Low,73.9,High,56.34,Moderate,88.53,Very High,32.0,Very Low,12.21,High,38.63,Moderate,67.54,High,125.48,Moderate
Germany,130.01,Very High,60.77,High,71.97,High,83.3,Very High,59.56,Low,9.12,Moderate,29.82,Low,28.81,Low,189.75,Very High
Ghana,17.4,Very Low,54.65,Moderate,57.38,Moderate,67.03,High,30.49,Very Low,28.98,Very High,39.67,Moderate,86.91,Very High,17.47,Very Low
Greece,59.69,Low,53.44,Moderate,58.2,Moderate,91.79,Very High,47.78,Low,12.72,High,33.53,Low,50.07,Moderate,136.83,Moderate
Guatemala,40.26,Low,41.92,Moderate,67.33,High,99.89,Very High,36.67,Very Low,11.44,Moderate,50.58,High,73.47,High,107.92,Low
Hong Kong (China),108.13,High,78.49,High,66.06,High,83.64,Very High,74.59,High,28.59,Very High,41.81,High,66.86,High,134.04,Moderate
Hungary,70.34,Moderate,66.28,High,54.07,Moderate,78.74,High,37.72,Very Low,13.22,High,35.68,Moderate,46.57,Moderate,143.26,Moderate
Iceland,126.81,Very High,74.26,High,67.63,High,68.81,High,81.71,High,6.39,Low,21.35,Very Low,15.84,Very Low,202.04,Very High
India,86.09,High,55.67,Moderate,65.43,High,64.1,High,19.93,Very Low,11.26,Moderate,46.54,High,72.89,High,124.7,Moderate
Indonesia,33.47,Very Low,54.11,Moderate,60.84,High,63.76,High,25.31,Very Low,16.65,Very High,43.11,High,67.99,High,99.98,Very Low
Iran,29.9,Very Low,49.67,Moderate,52.62,Moderate,70.99,High,24.03,Very Low,20.05,Very High,46.92,High,75.24,High,85.42,Very Low
Iraq,55.15,Low,57.47,Moderate,45.9,Moderate,46.98,Moderate,26.81,Very Low,8.17,Moderate,37.05,Moderate,71.53,High,107.76,Low
Ireland,112.53,Very High,52.53,Moderate,51.38,Moderate,87.83,Very High,60.85,Moderate,6.58,Low,37.76,Moderate,34.79,Low,166.37,Very High
Israel,108.83,High,68.25,High,73.34,High,93.78,Very High,63.19,Moderate,13.98,High,36.61,Moderate,56.84,Moderate,161.76,Very High
Italy,87.2,High,53.03,Moderate,65.13,High,90.78,Very High,52.12,Low,9.47,Moderate,32.36,Low,53.67,Moderate,151.06,High
Jamaica,36.87,Very Low,32.61,Low,51.52,Moderate,71.58,High,49.56,Low,20.19,Very High,44.5,High,66.31,High,83.92,Very Low
Japan,120.74,Very High,77.07,High,79.81,High,85.26,Very High,46.99,Low,12.29,High,40.33,Moderate,38.55,Low,184.32,Very High
Jordan,52.44,Low,59.78,Moderate,65.23,High,89.05,Very High,37.64,Very Low,6.77,Low,39.38,Moderate,77.1,High,125.01,Moderate
Kazakhstan,51.89,Low,54.62,Moderate,60.65,High,39.78,Moderate,28.08,Very Low,10.27,Moderate,35.62,Moderate,73.16,High,105.92,Low
Kenya,35.6,Very Low,44.24,Moderate,61.54,High,99.79,Very High,28.23,Very Low,18.77,Very High,50.59,High,69.04,High,101.33,Low
Kosovo (Disputed Territory),53.0,Low,59.2,Moderate,68.47,High,76.84,High,26.04,Very Low,13.85,High,24.06,Very Low,67.84,High,130.09,Moderate
Kuwait,176.8,Very High,67.19,High,57.93,Moderate,20.22,Moderate,40.82,Low,6.69,Low,35.32,Moderate,69.37,High,159.55,High
Kyrgyzstan,35.11,Very Low,46.17,Moderate,57.62,Moderate,58.11,Moderate,25.72,Very Low,12.89,High,37.7,Moderate,70.38,High,98.32,Very Low
Latvia,76.15,Moderate,62.8,High,62.4,High,74.7,High,44.96,Low,8.38,Moderate,28.7,Low,30.4,Low,164.22,Very High
Lebanon,34.84,Very Low,53.16,Moderate,63.69,High,94.74,Very High,38.99,Very Low,16.26,Very High,38.75,Moderate,89.41,Very High,98.43,Very Low
Libya,50.47,Low,44.23,Moderate,45.45,Moderate,96.54,Very High,18.72,Very Low,7.62,Low,27.36,Low,53.02,Moderate,134.14,Moderate
Lithuania,80.43,Moderate,67.72,High,74.95,High,67.76,High,44.73,Low,12.25,High,23.36,Very Low,26.14,Low,172.77,Very High
Luxembourg,195.55,Very High,64.68,High,75.24,High,82.62,Very High,63.72,Moderate,8.48,Moderate,27.04,Low,23.27,Low,224.31,Very High
Macao (China),106.51,High,79.52,High,51.0,Moderate,81.7,Very High,57.26,Low,21.1,Very High,16.73,Very Low,67.58,High,149.76,High
Malaysia,86.32,High,51.03,Moderate,70.37,High,56.55,Moderate,29.82,Very Low,8.5,Moderate,37.17,Moderate,61.14,High,136.22,Moderate
Malta,78.04,Moderate,57.09,Moderate,52.12,Moderate,97.44,Very High,48.99,Low,11.14,Moderate,28.33,Low,75.5,High,132.54,Moderate
Mexico,48.48,Low,46.47,Moderate,72.39,High,87.51,Very High,35.0,Very Low,11.61,Moderate,39.29,Moderate,58.46,Moderate,127.02,Moderate
Moldova,47.77,Low,55.52,Moderate,52.12,Moderate,76.91,High,31.44,Very Low,12.92,High,27.75,Low,61.33,High,122.53,Moderate
Mongolia,31.73,Very Low,47.53,Moderate,51.63,Moderate,3.54,Low,30.68,Very Low,16.08,Very High,31.42,Low,87.82,Very High,62.52,Very Low
Montenegro,57.92,Low,64.59,High,41.05,Moderate,89.02,Very High,37.37,Very Low,12.92,High,16.89,Very Low,43.7,Moderate,147.33,High
Morocco,42.23,Low,52.34,Moderate,46.87,Moderate,86.09,Very High,27.76,Very Low,13.42,High,35.16,Moderate,68.66,High,110.96,Low
Nepal,28.36,Very Low,63.5,High,57.7,Moderate,92.64,Very High,23.48,Very Low,28.69,Very High,33.45,Low,83.87,Very High,88.97,Very Low
Netherlands,134.19,Very High,73.36,High,79.47,High,87.42,Very High,61.41,Moderate,7.63,Low,23.14,Very Low,21.14,Low,211.85,Very High
New Zealand,123.9,Very High,51.87,Moderate,68.61,High,95.46,Very High,59.36,Low,8.63,Moderate,32.56,Low,26.0,Low,186.57,Very High
Nigeria,11.37,Very Low,33.51,Low,48.17,Moderate,60.75,High,27.29,Very Low,25.59,Very High,65.31,Very High,87.91,Very High,41.24,Very Low
North Macedonia,59.26,Low,59.17,Moderate,55.12,Moderate,76.3,High,30.57,Very Low,12.24,High,24.91,Very Low,79.59,High,119.96,Low
Norway,122.3,Very High,67.05,High,75.65,High,68.5,High,71.27,Moderate,8.38,Moderate,26.67,Very Low,18.32,Very Low,194.48,Very High
Oman,160.38,Very High,81.94,Very High,65.11,High,67.22,High,39.3,Very Low,2.81,Very Low,20.54,Very Low,34.71,Low,213.42,Very High
Pakistan,30.57,Very Low,56.31,Moderate,59.38,Moderate,71.93,High,17.9,Very Low,14.3,High,38.01,Moderate,73.31,High,104.14,Low
Panama,44.91,Low,57.32,Moderate,60.66,High,67.84,High,43.83,Low,11.68,Moderate,35.24,Moderate,55.63,Moderate,122.74,Moderate
Paraguay,41.24,Low,39.84,Low,64.52,High,92.24,Very High,23.19,Very Low,15.68,High,42.83,High,66.16,High,109.45,Low
Peru,39.16,Very Low,32.77,Low,56.28,Moderate,97.69,Very High,29.43,Very Low,18.58,Very High,49.78,High,82.19,Very High,85.92,Very Low
Philippines,37.95,Very Low,56.92,Moderate,67.2,High,61.23,High,28.77,Very Low,22.2,Very High,41.29,High,72.38,High,96.95,Very Low
Poland,93.75,High,70.99,High,57.92,Moderate,75.9,High,39.35,Very Low,11.03,Moderate,31.79,Low,55.51,Moderate,153.6,High
Portugal,62.54,Moderate,68.17,High,72.42,High,97.31,Very High,41.72,Low,13.97,High,28.65,Low,28.8,Low,168.85,Very High
Qatar,184.27,Very High,84.05,Very High,73.45,High,36.03,Moderate,48.27,Low,5.06,Low,29.01,Low,60.0,High,192.73,Very High
Romania,73.36,Moderate,67.82,High,56.51,Moderate,77.0,High,34.66,Very Low,10.16,Moderate,33.36,Low,58.61,Moderate,142.14,Moderate
Russia,55.66,Low,61.3,High,61.41,High,43.6,Moderate,25.25,Very Low,14.84,High,43.35,High,59.13,Moderate,113.56,Low
Rwanda,20.5,Very Low,72.81,High,72.87,High,99.74,Very High,37.05,Very Low,29.26,Very High,15.67,Very Low,39.22,Low,122.66692435815702,Very Low
Saudi Arabia,147.37,Very High,76.23,High,61.71,High,45.98,Moderate,42.06,Low,3.09,Very Low,29.87,Low,62.46,High,173.2,Very High
Serbia,58.05,Low,62.75,High,51.96,Moderate,83.23,Very High,36.18,Very Low,16.78,Very High,30.72,Low,65.62,High,123.62,Moderate
Singapore,108.8,High,72.48,High,71.9,High,57.45,Moderate,79.72,High,20.4,Very High,40.87,Moderate,32.61,Low,157.13,High
Slovakia,75.25,Moderate,69.2,High,58.6,Moderate,80.72,Very High,43.24,Low,14.2,High,27.41,Low,37.3,Low,157.96,High
Slovenia,85.89,High,76.17,High,66.26,High,76.11,High,47.58,Low,13.09,High,25.39,Very Low,22.25,Low,178.94,Very High
South Africa,123.08,Very High,25.36,Low,63.83,High,95.25,Very High,31.3,Very Low,3.21,Very Low,38.61,Moderate,56.56,Moderate,155.84,High
South Korea,107.47,High,75.36,High,82.78,Very High,68.39,High,59.94,Low,21.06,Very High,40.32,Moderate,60.93,High,148.74,High
Spain,101.41,High,63.51,High,77.26,High,94.04,Very High,44.41,Low,8.28,Moderate,26.76,Very Low,35.7,Low,184.67,Very High
Sri Lanka,17.98,Very Low,57.9,Moderate,71.36,High,59.11,Moderate,33.96,Very Low,28.78,Very High,54.52,High,57.94,Moderate,75.17,Very Low
Sweden,134.51,Very High,51.74,Moderate,68.43,High,76.49,High,54.84,Low,7.45,Low,28.72,Low,17.66,Very Low,193.48,Very High
Switzerland,165.31,Very High,73.69,High,71.5,High,79.24,High,101.18,Very High,10.94,Moderate,33.28,Low,23.06,Low,204.91,Very High
Taiwan,101.65,High,82.89,Very High,86.5,Very High,84.38,Very High,44.79,Low,20.89,Very High,32.81,Low,64.31,High,160.18,Very High
Tanzania,23.52,Very Low,46.46,Moderate,42.14,Moderate,71.28,High,25.31,Very Low,29.17,Very High,27.79,Low,62.48,High,64.91685788672157,Very Low
Thailand,46.07,Low,62.49,High,77.36,High,69.76,High,33.88,Very Low,25.31,Very High,38.71,Moderate,75.65,High,105.37,Low
Trinidad And Tobago,45.35,Low,29.01,Low,54.09,Moderate,67.55,High,49.01,Low,14.18,High,56.88,Very High,67.14,High,84.52,Very Low
Tunisia,33.55,Very Low,55.23,Moderate,57.17,Moderate,93.24,Very High,25.71,Very Low,13.06,High,34.39,Low,70.08,High,115.44,Low
Turkey,52.08,Low,58.74,Moderate,71.22,High,93.26,Very High,35.37,Very Low,11.05,Moderate,43.81,High,64.29,High,130.42,Moderate
Uganda,10.33,Very Low,45.88,Moderate,50.05,Moderate,98.41,Very High,47.97,Low,29.36,Very High,44.5,High,84.05,Very High,55.3368219321579,Very Low
Ukraine,47.67,Low,53.13,Moderate,55.74,Moderate,70.69,High,24.38,Very Low,13.88,High,37.92,Moderate,62.16,High,114.78,Low
United Arab Emirates,132.31,Very High,84.43,Very High,70.63,High,45.84,Moderate,53.8,Low,6.77,Low,35.77,Moderate,47.98,Moderate,176.65,Very High
United Kingdom,125.05,Very High,51.88,Moderate,72.92,High,87.41,Very High,59.67,Low,8.75,Moderate,34.74,Low,40.47,Moderate,175.2,Very High
United States,153.02,Very High,50.74,Moderate,67.86,High,79.14,High,65.69,Moderate,3.54,Very Low,32.91,Low,36.61,Low,189.14,Very High
Uruguay,57.92,Low,48.2,Moderate,68.57,High,98.04,Very High,47.39,Low,12.28,High,39.52,Moderate,43.49,Moderate,141.6,Moderate
Uzbekistan,44.66,Low,71.97,High,61.82,High,69.79,High,24.4,Very Low,13.08,High,34.3,Low,53.07,Moderate,133.78,Moderate
Vietnam,44.49,Low,59.0,Moderate,61.32,High,71.24,High,26.85,Very Low,24.77,Very High,29.62,Low,84.19,Very High,97.18,Very Low
Zimbabwe,28.76,Very Low,39.31,Low,44.8,Moderate,96.76,Very High,35.36,Very Low,17.35,Very High,27.79,Low,78.53,High,94.2,Very Low
